Indicador;Comunidad autónoma;Grupo de gasto;periodo;Total
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2019;44,1
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2018;45,2
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2017;48,7
GASTO MEDIO POR HOGAR (Euros);Aragón;Publicaciones periódicas;2016;56,6
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2023;92,0
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2022;120,8
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2021;70,2
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2020;52,9
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2019;70,4
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2018;76,9
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2017;102,5
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Libro;2016;114,2
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2023;33,3
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2022;31,3
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2021;49,1
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2020;32,0
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2019;46,6
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2018;57,9
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2017;66,2
GASTO MEDIO POR HOGAR (Euros);Asturias (Principado de);Publicaciones periódicas;2016;66,9
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2023;45,0
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2022;164,3
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2021;112,6
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2020;88,5
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2019;129,3
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2018;109,7
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2017;102,4
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Libro;2016;131,3
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2023;23,2
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2022;25,4
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2021;16,5
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2020;12,9
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2019;22,7
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2018;49,0
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2017;43,5
GASTO MEDIO POR HOGAR (Euros);Balears (Illes);Publicaciones periódicas;2016;51,1
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2023;74,2
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2022;50,2
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2021;58,6
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2020;49,2
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2019;69,4
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2018;83,0
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2017;73,3
GASTO MEDIO POR HOGAR (Euros);Canarias;Libro;2016;113,9
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2023;8,1
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2022;9,8
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2021;12,7
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2020;7,9
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2019;11,3
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2018;17,5
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2017;20,4
GASTO MEDIO POR HOGAR (Euros);Canarias;Publicaciones periódicas;2016;29,4
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2023;68,0
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2022;46,1
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2021;58,1
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2020;48,6
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2019;85,4
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2018;74,8
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2017;92,0
GASTO MEDIO POR HOGAR (Euros);Cantabria;Libro;2016;96,1
GASTO MEDIO POR HOGAR (Euros);Cantabria;Publicaciones periódicas;2023;43,6
GASTO MEDIO POR HOGAR (Euros);Cantabria;Publicaciones periódicas;2022;44,4
GASTO MEDIO POR HOGAR (Euros);Cantabria;Publicaciones periódicas;2021;41,0
GASTO MEDIO POR HOGAR (Euros);Cantabria;Publicaciones periódicas;2020;42,9
GASTO MEDIO POR HOGAR (Euros);Cantabria;Publicaciones periódicas;2019;51,9
GASTO MEDIO POR HOGAR (Euros);Cantabria;Publicaciones periódicas;2018;61,8
GASTO MEDIO POR HOGAR (Euros);Cantabria;Publicaciones periódicas;2017;72,1
GASTO MEDIO POR HOGAR (Euros);Cantabria;Publicaciones periódicas;2016;77,8
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Libro;2023;89,9
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Libro;2022;117,3
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Libro;2021;144,0
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Libro;2020;115,6
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Libro;2019;103,9
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Libro;2018;115,1
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Libro;2017;125,3
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Libro;2016;141,2
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Publicaciones periódicas;2023;28,9
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Publicaciones periódicas;2022;26,9
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Publicaciones periódicas;2021;50,4
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Publicaciones periódicas;2020;42,6
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Publicaciones periódicas;2019;36,0
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Publicaciones periódicas;2018;38,2
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Publicaciones periódicas;2017;47,1
GASTO MEDIO POR HOGAR (Euros);Castilla y León;Publicaciones periódicas;2016;46,4
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Libro;2023;82,7
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Libro;2022;76,3
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Libro;2021;64,3
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Libro;2020;78,6
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Libro;2019;91,2
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Libro;2018;101,6
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Libro;2017;83,3
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Libro;2016;108,4
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Publicaciones periódicas;2023;8,8
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Publicaciones periódicas;2022;9,5
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Publicaciones periódicas;2021;12,4
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Publicaciones periódicas;2020;31,3
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Publicaciones periódicas;2019;14,4
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Publicaciones periódicas;2018;14,7
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Publicaciones periódicas;2017;16,3
GASTO MEDIO POR HOGAR (Euros);Castilla-La Mancha;Publicaciones periódicas;2016;21,4
GASTO MEDIO POR HOGAR (Euros);Cataluña;Libro;2023;92,4
GASTO MEDIO POR HOGAR (Euros);Cataluña;Libro;2022;140,1
GASTO MEDIO POR HOGAR (Euros);Cataluña;Libro;2021;83,5
GASTO MEDIO POR HOGAR (Euros);Cataluña;Libro;2020;90,0
GASTO MEDIO POR HOGAR (Euros);Cataluña;Libro;2019;102,2
GASTO MEDIO POR HOGAR (Euros);Cataluña;Libro;2018;97,7
GASTO MEDIO POR HOGAR (Euros);Cataluña;Libro;2017;126,5
GASTO MEDIO POR HOGAR (Euros);Cataluña;Libro;2016;160,6
GASTO MEDIO POR HOGAR (Euros);Cataluña;Publicaciones periódicas;2023;12,4
GASTO MEDIO POR HOGAR (Euros);Cataluña;Publicaciones periódicas;2022;21,1
GASTO MEDIO POR HOGAR (Euros);Cataluña;Publicaciones periódicas;2021;23,1
GASTO MEDIO POR HOGAR (Euros);Cataluña;Publicaciones periódicas;2020;23,8
GASTO MEDIO POR HOGAR (Euros);Cataluña;Publicaciones periódicas;2019;31,2
GASTO MEDIO POR HOGAR (Euros);Cataluña;Publicaciones periódicas;2018;32,9
GASTO MEDIO POR HOGAR (Euros);Cataluña;Publicaciones periódicas;2017;39,4
GASTO MEDIO POR HOGAR (Euros);Cataluña;Publicaciones periódicas;2016;47,9
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Libro;2023;64,4
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Libro;2022;73,6
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Libro;2021;79,8
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Libro;2020;90,6
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Libro;2019;92,1
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Libro;2018;103,6
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Libro;2017;95,2
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Libro;2016;118,8
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Publicaciones periódicas;2023;10,7
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Publicaciones periódicas;2022;13,8
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Publicaciones periódicas;2021;15,9
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Publicaciones periódicas;2020;15,9
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Publicaciones periódicas;2019;23,2
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Publicaciones periódicas;2018;29,3
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Publicaciones periódicas;2017;29,1
GASTO MEDIO POR HOGAR (Euros);Comunitat Valenciana;Publicaciones periódicas;2016;38,6
GASTO MEDIO POR HOGAR (Euros);Extremadura;Libro;2023;73,7
GASTO MEDIO POR HOGAR (Euros);Extremadura;Libro;2022;69,6
GASTO MEDIO POR HOGAR (Euros);Extremadura;Libro;2021;75,0
GASTO MEDIO POR HOGAR (Euros);Extremadura;Libro;2020;73,4
GASTO MEDIO POR HOGAR (Euros);Extremadura;Libro;2019;66,5
GASTO MEDIO POR HOGAR (Euros);Extremadura;Libro;2018;76,0
GASTO MEDIO POR HOGAR (Euros);Extremadura;Libro;2017;80,5
GASTO MEDIO POR HOGAR (Euros);Extremadura;Libro;2016;82,6
GASTO MEDIO POR HOGAR (Euros);Extremadura;Publicaciones periódicas;2023;8,0
GASTO MEDIO POR HOGAR (Euros);Extremadura;Publicaciones periódicas;2022;9,1
GASTO MEDIO POR HOGAR (Euros);Extremadura;Publicaciones periódicas;2021;20,9
GASTO MEDIO POR HOGAR (Euros);Extremadura;Publicaciones periódicas;2020;11,3
GASTO MEDIO POR HOGAR (Euros);Extremadura;Publicaciones periódicas;2019;15,9
GASTO MEDIO POR HOGAR (Euros);Extremadura;Publicaciones periódicas;2018;13,2
GASTO MEDIO POR HOGAR (Euros);Extremadura;Publicaciones periódicas;2017;15,5
GASTO MEDIO POR HOGAR (Euros);Extremadura;Publicaciones periódicas;2016;26,9
GASTO MEDIO POR HOGAR (Euros);Galicia;Libro;2023;105,9
GASTO MEDIO POR HOGAR (Euros);Galicia;Libro;2022;96,7
GASTO MEDIO POR HOGAR (Euros);Galicia;Libro;2021;109,8
GASTO MEDIO POR HOGAR (Euros);Galicia;Libro;2020;120,5
GASTO MEDIO POR HOGAR (Euros);Galicia;Libro;2019;88,5
GASTO MEDIO POR HOGAR (Euros);Galicia;Libro;2018;89,5
GASTO MEDIO POR HOGAR (Euros);Galicia;Libro;2017;77,7
GASTO MEDIO POR HOGAR (Euros);Galicia;Libro;2016;79,2
GASTO MEDIO POR HOGAR (Euros);Galicia;Publicaciones periódicas;2023;34,0
GASTO MEDIO POR HOGAR (Euros);Galicia;Publicaciones periódicas;2022;32,1
GASTO MEDIO POR HOGAR (Euros);Galicia;Publicaciones periódicas;2021;40,8
GASTO MEDIO POR HOGAR (Euros);Galicia;Publicaciones periódicas;2020;42,9
GASTO MEDIO POR HOGAR (Euros);Galicia;Publicaciones periódicas;2019;36,5
GASTO MEDIO POR HOGAR (Euros);Galicia;Publicaciones periódicas;2018;39,3
GASTO MEDIO POR HOGAR (Euros);Galicia;Publicaciones periódicas;2017;42,7
GASTO MEDIO POR HOGAR (Euros);Galicia;Publicaciones periódicas;2016;58,2
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Libro;2023;120,2
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Libro;2022;129,0
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Libro;2021;107,9
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Libro;2020;131,7
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Libro;2019;142,4
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Libro;2018;158,6
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Libro;2017;167,3
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Libro;2016;173,1
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Publicaciones periódicas;2023;16,3
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Publicaciones periódicas;2022;18,9
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Publicaciones periódicas;2021;24,6
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Publicaciones periódicas;2020;24,6
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Publicaciones periódicas;2019;37,4
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Publicaciones periódicas;2018;36,8
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Publicaciones periódicas;2017;44,5
GASTO MEDIO POR HOGAR (Euros);Madrid (Comunidad de);Publicaciones periódicas;2016;49,8
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Libro;2023;120,2
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Libro;2022;114,4
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Libro;2021;101,4
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Libro;2020;82,6
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Libro;2019;154,1
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Libro;2018;115,1
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Libro;2017;140,1
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Libro;2016;136,3
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Publicaciones periódicas;2023;3,5
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Publicaciones periódicas;2022;8,5
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Publicaciones periódicas;2021;11,6
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Publicaciones periódicas;2020;10,6
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Publicaciones periódicas;2019;23,0
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Publicaciones periódicas;2018;21,9
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Publicaciones periódicas;2017;27,2
GASTO MEDIO POR HOGAR (Euros);Murcia (Región de);Publicaciones periódicas;2016;45,0
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Libro;2023;66,4
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Libro;2022;86,4
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Libro;2021;76,3
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Libro;2020;68,1
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Libro;2019;97,6
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Libro;2018;120,4
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Libro;2017;112,3
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Libro;2016;117,4
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2023;66,8
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2022;74,8
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2021;82,7
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2020;93,3
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2019;76,0
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2018;90,6
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2017;106,0
GASTO MEDIO POR HOGAR (Euros);Navarra (Comunidad Foral de);Publicaciones periódicas;2016;108,0
GASTO MEDIO POR HOGAR (Euros);País Vasco;Libro;2023;71,9
GASTO MEDIO POR HOGAR (Euros);País Vasco;Libro;2022;89,8
GASTO MEDIO POR HOGAR (Euros);País Vasco;Libro;2021;87,6
GASTO MEDIO POR HOGAR (Euros);País Vasco;Libro;2020;86,5
GASTO MEDIO POR HOGAR (Euros);País Vasco;Libro;2019;80,7
GASTO MEDIO POR HOGAR (Euros);País Vasco;Libro;2018;88,7
GASTO MEDIO POR HOGAR (Euros);País Vasco;Libro;2017;88,9
GASTO MEDIO POR HOGAR (Euros);País Vasco;Libro;2016;118,3
GASTO MEDIO POR HOGAR (Euros);País Vasco;Publicaciones periódicas;2023;71,2
GASTO MEDIO POR HOGAR (Euros);País Vasco;Publicaciones periódicas;2022;67,6
GASTO MEDIO POR HOGAR (Euros);País Vasco;Publicaciones periódicas;2021;82,2
GASTO MEDIO POR HOGAR (Euros);País Vasco;Publicaciones periódicas;2020;91,7
GASTO MEDIO POR HOGAR (Euros);País Vasco;Publicaciones periódicas;2019;84,6
GASTO MEDIO POR HOGAR (Euros);País Vasco;Publicaciones periódicas;2018;91,4
GASTO MEDIO POR HOGAR (Euros);País Vasco;Publicaciones periódicas;2017;115,0
GASTO MEDIO POR HOGAR (Euros);País Vasco;Publicaciones periódicas;2016;105,7
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Libro;2023;110,3
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Libro;2022;118,2
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Libro;2021;102,7
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Libro;2020;130,7
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Libro;2019;156,2
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Libro;2018;121,3
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Libro;2017;118,0
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Libro;2016;118,3
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Publicaciones periódicas;2023;24,3
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Publicaciones periódicas;2022;24,9
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Publicaciones periódicas;2021;33,4
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Publicaciones periódicas;2020;35,4
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Publicaciones periódicas;2019;38,9
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Publicaciones periódicas;2018;44,7
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Publicaciones periódicas;2017;44,2
GASTO MEDIO POR HOGAR (Euros);Rioja (La);Publicaciones periódicas;2016;55,3
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Libro;2023;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Libro;2022;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Libro;2021;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Libro;2020;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Libro;2019;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Libro;2018;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Libro;2017;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Libro;2016;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Publicaciones periódicas;2023;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Publicaciones periódicas;2022;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Publicaciones periódicas;2021;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Publicaciones periódicas;2020;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Publicaciones periódicas;2019;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Publicaciones periódicas;2018;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Publicaciones periódicas;2017;..
GASTO MEDIO POR HOGAR (Euros);Ceuta y Melilla;Publicaciones periódicas;2016;..
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Libro;2023;31,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Libro;2022;27,1
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Libro;2021;34,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Libro;2020;25,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Libro;2019;27,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Libro;2018;35,4
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Libro;2017;35,5
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Libro;2016;44,2
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Publicaciones periódicas;2023;7,1
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Publicaciones periódicas;2022;5,5
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Publicaciones periódicas;2021;7,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Publicaciones periódicas;2020;7,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Publicaciones periódicas;2019;10,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Publicaciones periódicas;2018;12,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Publicaciones periódicas;2017;11,8
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Andalucía;Publicaciones periódicas;2016;14,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Libro;2023;66,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Libro;2022;77,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Libro;2021;51,5
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Libro;2020;71,8
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Libro;2019;60,8
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Libro;2018;63,7
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Libro;2017;69,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Libro;2016;69,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Publicaciones periódicas;2023;20,1
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Publicaciones periódicas;2022;19,3
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Publicaciones periódicas;2021;18,4
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Publicaciones periódicas;2020;25,0
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Publicaciones periódicas;2019;26,9
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Publicaciones periódicas;2018;27,6
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Publicaciones periódicas;2017;29,7
GASTO MEDIO POR UNIDAD DE CONSUMO (Euros);Aragón;Publicaciones periódicas;2016;34,5
